id,name
82,Gaedestr.
820,Niehler Kirchweg
821,Gauweg
822,Pasteurstr.
823,Göttinger Str.
824,St. Vinzenz-Hospital
825,Wilhelmstr.
826,Cranachstr.
827,Beuelsweg
828,Kuenstr.
829,Schneider-Clauss-Str.
83,Leyboldstr.
830,Bahnstr.
831,Klinikum Merheim
832,Auf dem Streitacker
833,Lessingstr.
834,Marienstr.
835,Bf Ehrenfeld
836,Takustr.
837,Zonser Str.
838,Friedrich-Karl-Str./Neusser Str.
839,Stommeler Str.
84,Arnoldshöhe
840,Immendorf Schule
841,Am Nordpark
842,Gisbertstr.
843,LVR-Klinik
845,Melli-Beese-Str.
846,Wiso-Fakultät
847,Lindenweg
848,TechnologiePark Mitte
849,Franziska-Anneke-Str.
85,Am Kölnberg
850,Prälat-van-Acken-Str.
851,Amselstr.
852,Am Serviesberg
853,Morsestr.
854,Marconistr.
855,Feldkasseler Weg
856,Florenzer Str.
857,Esch Friedhof
858,Marconistr. Ost
859,Güterverkehrszentrum
86,Meschenich Kirche
860,Longericher Str./Etzelstr.
861,Hugo-Junkers-Str.
862,Glashüttenstr.
863,Klingerstr.
864,Flughafen Verwaltung
866,Bachemer Str.
867,Edmund-Rumpler-Str.
868,Hopfenstr.
869,Ranzel Weilerhof
87,Engeldorfer Str.
870,Heinrich-Steinmann-Str.
871,IKEA Godorf
872,Bistritzer Str.
873,Wattstr.
874,Am Vorgebirgstor
875,Justizzentrum
8756,Blumenberg S-Bahn
8758,Siegburg Zum Hohen Ufer
876,Südbahnhof
877,Am Leinacker
878,Heinz-Kühn-Str.
879,Roteichenweg
88,Frankenstr.
880,Freiligrathstr.
881,Weserpromenade
882,Neißestr.
883,Havelstr.
884,Habichtstraße
885,Neven DuMont Haus
886,Schulzentrum Wahn
887,Scheuermühlenstr.
888,Kaserne Haupttor
889,An der alten Post
89,Engeldorfer Hof
890,Deutzer Friedhof
891,Schanzenstr./Schauspielhaus
892,Köln/Bonn Flughafen
895,Schumacherring
897,Heinrich-Lübke-Ufer
898,Am Hochkreuz
899,Am Coloneum
9,Breslauer Platz/Hbf
90,Kettelerstr.
900,CöllnParc
901,Voltastr.
9029,Stiftsstr.
903,Sparkasse Am Butzweilerhof
904,Grüner Weg
905,Am Feldrain (Sürth)
908,Schanzenstr. Nord
909,Celsiusstr.
91,Josef-Lammerting-Allee
910,Belvederestr.
911,Carlswerkstraße
913,Volksgarten
914,Zugweg
915,Güterverkehrszentrum Süd
916,Paul-Nießen-Str.
918,Im Rheintal
919,Lüderichstr.
92,Höningen Rondorfer Weg
920,Gummersbacher Straße
921,Corintostraße
922,Kalk-Karree
923,Christian-Sünner-Straße
924,Heinrich-Bützler-Straße
925,Lentpark
926,Curt-Stenvert-Bogen
927,Gut Leidenhausen
928,Kallbergstr.
929,Oskar-Schindler-Str.
93,Höningen Siedlung
930,Am Eifeltor
9326,Mondorf Provinzialstr.
9327,Niederkassel Waldstr.
933,Klaprothstr.
94,Bonner Landstr.
95,Hochkirchen
96,Lerchenweg
97,Rondorf
976,IKEA Am Butzweilerhof
978,Josephstr.
979,Katharinenhof
98,Bödinger Str.
981,Btf. Merheim
99,Westerwaldstr.
